Title,Artist,Nationality,GenderMFU,DateAcquired
Untitled,Oscar Domínguez, French ,M,12/3/37
Fireplace with a Waterfall,Emilio Terry, French ,M,12/3/37
The Jury,Mitchell Siporin, American ,M,12/3/37
Rayograph,Man Ray (Emmanuel Radnitzky), American ,M,12/3/37
Schadograph,Christian Schad, German ,M,12/3/37
Schadograph,Christian Schad, German ,M,12/3/37
Amourette,Christian Schad, German ,M,12/3/37
Lady Mary Ruthven,"David Octavius Hill, Robert Adamson"," British, British ",M,12/3/37
Lord Ruthven,"David Octavius Hill, Robert Adamson"," British, British ",M,12/3/37
"Newsstand, East 32nd Street and Third Avenue, Manhattan",Berenice Abbott, American ,F,12/3/37
A Lightplay: Black White Gray,László Moholy-Nagy, American ,M,12/3/37
A Lightplay: Black White Gray,László Moholy-Nagy, American ,M,12/3/37
A Lightplay: Black White Gray,László Moholy-Nagy, American ,M,12/3/37
